                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0722,                 2.2528,                 1.2865,                0.99639,                0.99593,                0.99496,                  0.781,                0.81706,                 1.0472,                 1.1452,               0.070278,              0.0033025,              0.0033025
                      1,                0.90046,                0.88815,                 1.1103,                0.99872,                0.99627,                  0.995,                0.80554,                  0.823,                0.53185,                 1.1391,               0.040212,              0.0065701,              0.0065701
                      2,                0.91882,                 0.7728,                 1.1082,                0.99766,                      1,                  0.995,                0.79785,                0.85934,                 0.5557,                 1.1575,                0.01008,              0.0097717,              0.0097717
                      3,                0.90309,                0.68956,                 1.1107,                0.99861,                0.99598,                  0.995,                0.79395,                0.78497,                0.50173,                 1.1017,               0.009703,               0.009703,               0.009703
                      4,                0.87727,                 0.6232,                  1.092,                0.99442,                0.99749,                0.99491,                0.79379,                0.78108,                0.45529,                 1.1392,               0.009703,               0.009703,               0.009703
                      5,                0.83264,                 0.5641,                 1.0744,                0.99435,                0.99593,                0.99203,                0.83604,                0.62556,                0.40764,                 1.0297,               0.009604,               0.009604,               0.009604
                      6,                0.80957,                0.51832,                 1.0606,                0.99429,                0.99637,                0.99496,                0.84121,                0.67165,                0.36577,                 1.0224,               0.009505,               0.009505,               0.009505
                      7,                0.78927,                0.50083,                 1.0497,                  0.999,                      1,                  0.995,                0.84229,                0.67509,                0.35051,                 1.0624,               0.009406,               0.009406,               0.009406
                      8,                0.75611,                0.46524,                 1.0354,                0.99703,                      1,                  0.995,                0.84989,                0.63902,                0.33338,                 1.0239,               0.009307,               0.009307,               0.009307
                      9,                0.72883,                0.44486,                 1.0294,                0.99735,                      1,                  0.995,                0.85013,                0.64438,                0.30622,                 1.0055,               0.009208,               0.009208,               0.009208
                     10,                0.71505,                0.43721,                  1.023,                0.99532,                0.99671,                  0.995,                0.88068,                 0.5617,                0.28897,                0.95772,               0.009109,               0.009109,               0.009109
                     11,                0.68944,                0.41819,                  1.015,                0.99904,                0.99741,                  0.995,                0.86421,                0.56475,                0.27313,                0.97974,                0.00901,                0.00901,                0.00901
